Cust ID,Date of Application,Cust Segment, Application Credit Score ,Application Amount,Approved_vs_Declined,Decline Reason,Due Date - 1st Payment,`Due Date - 2nd Payment,Due Date - 3rd Payment,Actual Date - 1st Payment ,Actual Date - 2nd Payment,Actual Date - 3rd Payment,Paid Back or Defaulted
17355,12/02/2021,High,  646 ,67,Approved,,3/14/2021,4/13/2021,5/13/2021,,,,Defaulted
17356,15/02/2021,High,  642 ,80,Approved,,3/17/2021,4/16/2021,5/16/2021,,,,Defaulted
17357,16/02/2021,Low,  575 ,119,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17358,27/02/2021,Low,  613 ,117,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17359,06/02/2021,High,  584 ,49,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17360,25/03/2021,Low,  552 ,69,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17361,12/03/2021,Low,  612 ,110,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17362,25/02/2021,Mid,  643 ,88,Approved,,3/27/2021,4/26/2021,5/26/2021,4/1/2021,4/26/2021,5/26/2021,Paid Back
17363,25/02/2021,Low,  643 ,155,Approved,,3/27/2021,4/26/2021,5/26/2021,,,,Defaulted
17364,22/01/2021,Low,  652 ,102,Approved,,2/21/2021,3/23/2021,4/22/2021,,,,Defaulted
17365,05/02/2021,High,  588 ,128,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17366,22/02/2021,Low,  649 ,111,Approved,,3/24/2021,4/23/2021,5/23/2021,,,,Defaulted
17367,21/02/2021,Low,  577 ,135,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17368,15/03/2021,High,  675 ,86,Approved,,4/14/2021,5/14/2021,6/13/2021,4/17/2021,5/14/2021,6/13/2021,Paid Back
17369,02/03/2021,Low,  602 ,117,Approved,,4/1/2021,5/1/2021,5/31/2021,4/13/2021,5/1/2021,5/31/2021,Paid Back
17370,26/02/2021,Low,  627 ,110,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17371,04/02/2021,Low,  645 ,131,Approved,,3/6/2021,4/5/2021,5/5/2021,,,,Defaulted
17372,29/03/2021,High,  604 ,114,Approved,,4/28/2021,5/28/2021,6/27/2021,5/20/2021,5/28/2021,6/27/2021,Paid Back
17373,15/01/2021,Mid,  573 ,66,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17374,29/01/2021,Mid,  610 ,56,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17375,17/02/2021,High,  645 ,126,Approved,,3/19/2021,4/18/2021,5/18/2021,,,,Defaulted
17376,01/02/2021,Mid,  544 ,125,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17377,20/02/2021,Low,  574 ,73,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17378,06/02/2021,Mid,  655 ,99,Approved,,3/8/2021,4/7/2021,5/7/2021,3/11/2021,4/7/2021,5/7/2021,Paid Back
17379,05/02/2021,Low,  587 ,89,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17380,15/02/2021,High,  610 ,84,Approved,,3/17/2021,4/16/2021,5/16/2021,4/22/2021,4/16/2021,5/16/2021,Paid Back
17381,12/01/2021,Mid,  609 ,101,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17382,27/03/2021,Mid,  612 ,134,Approved,,4/26/2021,5/26/2021,6/25/2021,5/28/2021,5/26/2021,6/25/2021,Paid Back
17383,18/01/2021,Mid,  609 ,141,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17384,13/03/2021,Low,  575 ,138,Approved,,4/12/2021,5/12/2021,6/11/2021,,,,Defaulted
17385,23/02/2021,High,  625 ,130,Approved,,3/25/2021,4/24/2021,5/24/2021,3/25/2021,4/24/2021,5/24/2021,Paid Back
17386,03/01/2021,Mid,  683 ,150,Approved,,2/2/2021,3/4/2021,4/3/2021,,,,Defaulted
17387,14/01/2021,Mid,  572 ,107,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17388,19/03/2021,High,  654 ,162,Approved,,4/18/2021,5/18/2021,6/17/2021,4/27/2021,5/18/2021,6/17/2021,Paid Back
17389,07/01/2021,Mid,  652 ,126,Approved,,2/6/2021,3/8/2021,4/7/2021,2/15/2021,3/8/2021,4/7/2021,Paid Back
17390,28/02/2021,Low,  616 ,96,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17391,24/02/2021,Low,  621 ,98,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17392,09/02/2021,High,  588 ,89,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17393,10/03/2021,Mid,  628 ,149,Approved,,4/9/2021,5/9/2021,6/8/2021,,,,Defaulted
17394,02/04/2021,Low,  624 ,49,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17395,24/02/2021,Mid,  572 ,112,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17396,21/02/2021,Mid,  608 ,127,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17397,20/02/2021,Mid,  594 ,104,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17398,11/03/2021,Mid,  575 ,69,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17399,17/02/2021,Mid,  625 ,111,Approved,,3/19/2021,4/18/2021,5/18/2021,4/19/2021,4/18/2021,5/18/2021,Paid Back
17400,03/02/2021,Low,  641 ,91,Approved,,3/5/2021,4/4/2021,5/4/2021,3/10/2021,4/4/2021,5/4/2021,Paid Back
17401,25/03/2021,High,  652 ,108,Approved,,4/24/2021,5/24/2021,6/23/2021,,,,Defaulted
17402,24/02/2021,Mid,  584 ,76,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17403,03/03/2021,Mid,  567 ,101,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17404,30/01/2021,Low,  640 ,86,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17405,15/02/2021,Mid,  527 ,124,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17406,29/03/2021,High,  635 ,87,Approved,,4/28/2021,5/28/2021,6/27/2021,,,,Defaulted
17407,16/03/2021,Low,  585 ,130,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17408,02/04/2021,High,  631 ,37,Approved,,5/2/2021,6/1/2021,7/1/2021,6/11/2021,6/1/2021,7/1/2021,Paid Back
17409,06/03/2021,Mid,  523 ,93,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17410,26/01/2021,Mid,  595 ,122,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17411,13/03/2021,Mid,  675 ,75,Approved,,4/12/2021,5/12/2021,6/11/2021,,,,Defaulted
17412,25/01/2021,Low,  583 ,81,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17413,25/02/2021,Mid,  642 ,68,Approved,,3/27/2021,4/26/2021,5/26/2021,3/28/2021,4/26/2021,5/26/2021,Paid Back
17414,13/02/2021,Mid,  647 ,65,Approved,,3/15/2021,4/14/2021,5/14/2021,3/24/2021,4/14/2021,5/14/2021,Paid Back
17415,10/02/2021,Low,  691 ,66,Approved,,3/12/2021,4/11/2021,5/11/2021,,,,Defaulted
17416,04/03/2021,Low,  641 ,105,Approved,,4/3/2021,5/3/2021,6/2/2021,4/11/2021,5/3/2021,6/2/2021,Paid Back
17417,10/03/2021,High,  675 ,101,Approved,,4/9/2021,5/9/2021,6/8/2021,,,,Defaulted
17418,15/03/2021,Mid,  648 ,61,Approved,,4/14/2021,5/14/2021,6/13/2021,,,,Defaulted
17419,29/01/2021,Mid,  548 ,148,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17420,18/02/2021,Low,  678 ,89,Approved,,3/20/2021,4/19/2021,5/19/2021,,,,Defaulted
17421,18/03/2021,Mid,  585 ,80,Approved,,4/17/2021,5/17/2021,6/16/2021,7/10/2021,5/17/2021,6/16/2021,Paid Back
17422,02/04/2021,Mid,  605 ,89,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17423,21/02/2021,Mid,  607 ,151,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17424,10/02/2021,Mid,  581 ,78,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17425,29/03/2021,Mid,  626 ,44,Approved,,4/28/2021,5/28/2021,6/27/2021,5/20/2021,5/28/2021,6/27/2021,Paid Back
17426,09/03/2021,Low,  683 ,72,Approved,,4/8/2021,5/8/2021,6/7/2021,4/12/2021,5/8/2021,6/7/2021,Paid Back
17427,10/03/2021,Low,  646 ,25,Approved,,4/9/2021,5/9/2021,6/8/2021,4/9/2021,5/9/2021,6/8/2021,Paid Back
17428,23/02/2021,Low,  553 ,109,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17429,16/03/2021,Mid,  588 ,49,Approved,,4/15/2021,5/15/2021,6/14/2021,,,,Defaulted
17430,05/02/2021,Mid,  668 ,142,Approved,,3/7/2021,4/6/2021,5/6/2021,3/16/2021,4/6/2021,5/6/2021,Paid Back
17431,08/03/2021,Mid,  589 ,139,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17432,25/02/2021,Low,  587 ,119,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17433,17/02/2021,Mid,  658 ,139,Approved,,3/19/2021,4/18/2021,5/18/2021,,,,Defaulted
17434,25/03/2021,Low,  652 ,113,Approved,,4/24/2021,5/24/2021,6/23/2021,4/28/2021,5/24/2021,6/23/2021,Paid Back
17435,23/02/2021,Low,  614 ,84,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17436,05/02/2021,High,  626 ,79,Approved,,3/7/2021,4/6/2021,5/6/2021,3/31/2021,4/6/2021,5/6/2021,Paid Back
17437,13/03/2021,Mid,  603 ,62,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17438,01/04/2021,High,  618 ,50,Approved,,5/1/2021,5/31/2021,6/30/2021,6/9/2021,5/31/2021,6/30/2021,Paid Back
17439,01/03/2021,Mid,  628 ,72,Approved,,3/31/2021,4/30/2021,5/30/2021,,,,Defaulted
17440,19/01/2021,Low,  511 ,111,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17441,26/03/2021,High,  651 ,61,Approved,,4/25/2021,5/25/2021,6/24/2021,5/1/2021,5/25/2021,6/24/2021,Paid Back
17442,21/03/2021,Mid,  631 ,101,Approved,,4/20/2021,5/20/2021,6/19/2021,5/15/2021,5/20/2021,6/19/2021,Paid Back
17443,13/02/2021,Low,  628 ,138,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17444,25/02/2021,High,  573 ,132,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17445,13/03/2021,Low,  576 ,44,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17446,15/01/2021,Low,  630 ,142,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17447,21/01/2021,Mid,  685 ,55,Approved,,2/20/2021,3/22/2021,4/21/2021,,,,Defaulted
17448,05/01/2021,Mid,  536 ,125,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17449,10/03/2021,Mid,  560 ,100,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17450,06/02/2021,Low,  632 ,146,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17451,13/03/2021,Mid,  620 ,68,Approved,,4/12/2021,5/12/2021,6/11/2021,5/10/2021,5/12/2021,6/11/2021,Paid Back
17452,11/03/2021,Low,  637 ,147,Approved,,4/10/2021,5/10/2021,6/9/2021,,,,Defaulted
17453,23/03/2021,Mid,  618 ,126,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17454,02/02/2021,High,  655 ,80,Approved,,3/4/2021,4/3/2021,5/3/2021,,,,Defaulted
17455,01/04/2021,High,  586 ,60,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17456,28/02/2021,Mid,  660 ,197,Approved,,3/30/2021,4/29/2021,5/29/2021,4/8/2021,4/29/2021,5/29/2021,Paid Back
17457,09/02/2021,Mid,  592 ,119,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17458,09/02/2021,Mid,  601 ,131,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17459,23/03/2021,Mid,  648 ,123,Approved,,4/22/2021,5/22/2021,6/21/2021,4/27/2021,5/22/2021,6/21/2021,Paid Back
17460,28/03/2021,Low,  643 ,65,Approved,,4/27/2021,5/27/2021,6/26/2021,5/2/2021,5/27/2021,6/26/2021,Paid Back
17461,17/01/2021,Mid,  579 ,148,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17462,09/03/2021,Low,  643 ,100,Approved,,4/8/2021,5/8/2021,6/7/2021,,,,Defaulted
17463,24/03/2021,Mid,  592 ,132,Declined,System Issue,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17464,30/03/2021,High,  694 ,74,Approved,,4/29/2021,5/29/2021,6/28/2021,,,,Defaulted
17465,24/03/2021,Low,  653 ,96,Approved,,4/23/2021,5/23/2021,6/22/2021,5/2/2021,5/23/2021,6/22/2021,Paid Back
17466,09/03/2021,High,  553 ,136,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17467,01/04/2021,Low,  542 ,112,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17468,28/02/2021,Low,  594 ,104,Declined,Credit Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17469,11/03/2021,High,  635 ,94,Approved,,4/10/2021,5/10/2021,6/9/2021,,,,Defaulted
17470,09/03/2021,Low,  608 ,121,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17471,27/03/2021,Low,  563 ,120,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17472,19/02/2021,Low,  687 ,73,Approved,,3/21/2021,4/20/2021,5/20/2021,3/27/2021,4/20/2021,5/20/2021,Paid Back
17473,21/03/2021,High,  619 ,91,Approved,,4/20/2021,5/20/2021,6/19/2021,,,,Defaulted
17474,25/03/2021,Mid,  645 ,110,Approved,,4/24/2021,5/24/2021,6/23/2021,,,,Defaulted
17475,19/02/2021,Mid,  628 ,92,Approved,,3/21/2021,4/20/2021,5/20/2021,4/1/2021,4/20/2021,5/20/2021,Paid Back
17476,12/03/2021,Low,  584 ,88,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17477,15/03/2021,Mid,  664 ,96,Approved,,4/14/2021,5/14/2021,6/13/2021,4/19/2021,5/14/2021,6/13/2021,Paid Back
17478,22/01/2021,High,  571 ,139,Declined,Eligibility,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17479,04/02/2021,Mid,  605 ,107,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17480,04/03/2021,High,  661 ,96,Approved,,4/3/2021,5/3/2021,6/2/2021,4/7/2021,5/3/2021,6/2/2021,Paid Back
17481,04/03/2021,Low,  664 ,81,Approved,,4/3/2021,5/3/2021,6/2/2021,4/7/2021,5/3/2021,6/2/2021,Paid Back
17482,29/03/2021,Low,  601 ,158,Declined,Fraud Risk,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17483,11/03/2021,Mid,  687 ,109,Approved,,4/10/2021,5/10/2021,6/9/2021,4/19/2021,5/10/2021,6/9/2021,Paid Back
17484,13/01/2021,Mid,  568 ,68,Declined,Compliance,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,
17485,29/03/2021,High,  652 ,86,Approved,,4/28/2021,5/28/2021,6/27/2021,,,,Defaulted
17486,17/03/2021,Low,  645 ,132,Approved,,4/16/2021,5/16/2021,6/15/2021,,,,Defaulted
