Cust ID,Trans ID,Timestamp,Merchant Segment,Device,Funding Instrument,Price,ZipCode,Account_age_months,Sum_12_mnth_credit_txn,Sum_12_mnth_debit_txn,Pcnt_debit_cards_in_wallet,Num_premium_cards,Eng_segment
17327,E98E2BDE,2021-03-19 22:15:44,Electronics, Mobile ,Netbanking,761,84125,9,2105,11997,61,2,Medium
17328,992F73D4,2021-04-29 16:16:19,Travel, Mobile ,PayPal_Credit_Card,4056,89185,60,39552,3678,14,4,Medium
17329,B58BA689,2021-04-26 01:03:39,Fashion, Web ,PayPal_Pay_Later,68,49626,6,1417,12864,97,2,Medium
17330,53D29513,2021-06-01 09:43:17,Website-services, Web ,PayPal_Pay_Later,598,75655,16,368,19577,76,1,Medium
17331,2AECF45F,2021-04-23 20:25:05,Fashion, Web ,Wallet,211,13411,13,5576,9667,69,1,High
17332,5F0C007D,2021-03-11 18:18:25,Website-services, Mobile ,PayPal_Pay_Later,768,69498,18,840,13943,83,2,About_to_churn
17333,650A42EF,2021-05-03 00:37:26,Electronics, POS ,PayPal_Cobrand_Card,1163,25132,28,11569,3265,25,4,Medium
17334,98AEB7C0,2021-03-30 08:17:45,Website-services, Web ,Wallet,667,78374,14,5522,9844,51,0,High
17335,69155C87,2021-04-25 00:20:07,Travel, Web ,Debit_Card,939,50258,7,2149,23349,78,2,Medium
17336,E40EE0D3,2021-04-04 12:52:06,Electronics, Mobile ,Debit_Card,1072,41773,1,1411,22907,71,3,Medium
17337,7CB188D6,2021-04-21 21:57:38,Travel, Web ,Wallet,952,33259,5,3585,9843,59,1,High
17338,6A10E87B,2021-03-21 18:22:06,Travel, Mobile ,PayPal_Credit_Card,4190,72195,43,37096,1214,17,4,Medium
17339,2C932CAF,2021-06-02 15:58:18,Pantry, Mobile ,PayPal_Pay_Later,194,37830,17,851,26183,84,1,Medium
17340,FE9D703B,2021-05-30 15:31:12,Pantry, Mobile ,PayPal_Pay_Later,28,61587,15,250,16068,94,1,About_to_churn
17341,D7D92418,2021-03-30 13:30:12,Fashion, Mobile ,PayPal_Pay_Later,143,11449,2,1243,15136,80,2,Low
17342,B4CEF191,2021-05-10 05:17:41,Electronics, Mobile ,PayPal_Pay_Later,205,42127,5,456,12689,84,1,Low
17343,4816F3FD,2021-03-08 02:00:31,Travel, POS ,PayPal_Cobrand_Card,1571,11613,36,11103,2083,13,7,About_to_churn
17344,48F5A1EA,2021-03-18 22:34:00,Travel, Web ,Wallet,886,74732,11,1575,10004,55,1,About_to_churn
17345,C6B6DB93,2021-05-08 12:52:24,Pantry, Web ,Netbanking,225,23307,5,4545,7785,46,3,Medium
17346,AB6C3797,2021-06-03 12:41:12,Travel, Mobile ,PayPal_Credit_Card,4655,63539,33,27988,1213,13,3,Medium
17347,3101BA47,2021-06-08 07:39:10,Website-services, Web ,Netbanking,904,32766,8,2615,19179,47,3,Medium
17348,D151A5C3,2021-05-20 21:43:51,Electronics, Web ,PayPal_Pay_Later,640,16686,20,911,19945,96,2,About_to_churn
17349,F3748601,2021-05-07 01:01:09,Fashion, Web ,Wallet,238,23990,15,4958,11007,60,0,Low
17350,B3800914,2021-04-24 15:45:11,Fashion, Mobile ,PayPal_Pay_Later,177,31041,11,1778,20992,83,1,Low
17351,0C01D255,2021-03-10 05:31:32,Travel, Web ,PayPal_Credit_Card,4883,37435,57,9112,1495,12,6,Medium
17352,1E3310F2,2021-04-04 22:14:32,Fashion, Mobile ,PayPal_Pay_Later,171,35220,8,374,29285,94,2,Low
17353,7685990E,2021-04-22 20:52:40,Travel, POS ,PayPal_Cobrand_Card,3556,57487,25,23360,2233,24,8,Medium
17354,188A2097,2021-04-18 10:50:42,Electronics, Web ,PayPal_Pay_Later,170,78991,2,490,24933,97,1,Low
17355,B2B58B22,2021-04-20 23:19:01,Website-services, Mobile ,PayPal_Pay_Later,172,52414,3,1344,12052,96,2,About_to_churn
17356,CD1F906D,2021-06-03 23:51:39,Fashion, Mobile ,PayPal_Pay_Later,200,74534,11,393,16947,99,1,Low
17357,8E24921F,2021-03-14 16:46:18,Website-services, Web ,Wallet,396,38680,11,2539,9311,52,0,Medium
17358,60BB6309,2021-04-10 11:23:22,Fashion, Web ,PayPal_Pay_Later,78,76326,7,293,13367,91,2,Medium
17359,DC52C588,2021-04-07 03:32:01,Website-services, Mobile ,PayPal_Pay_Later,307,73302,4,655,18643,93,1,Low
17360,981E9686,2021-05-16 04:16:58,Pantry, Web ,Netbanking,338,79723,7,4475,10507,49,3,Medium
17361,BAC7CE17,2021-03-25 19:40:49,Pantry, Mobile ,PayPal_Pay_Later,185,50500,3,539,25038,79,1,Medium
17362,B9F02627,2021-05-23 16:25:30,Pantry, Mobile ,PayPal_Pay_Later,68,78262,19,1602,13685,80,1,Medium
17363,896160DC,2021-03-13 20:43:58,Travel, POS ,PayPal_Cobrand_Card,1021,26477,23,5763,3217,19,6,High
17364,730E6C26,2021-04-17 00:56:36,Travel, Mobile ,Debit_Card,1562,46147,4,1437,23312,77,3,Low
17365,DB0F2255,2021-05-19 03:17:17,Website-services, Web ,Netbanking,383,21055,15,3711,8797,51,3,About_to_churn
17366,560F3402,2021-03-05 15:22:45,Travel, Mobile ,Debit_Card,2068,73638,5,2343,21557,80,1,High
17367,501C56CC,2021-05-19 20:50:20,Others, Web ,PayPal_Credit_Card,4762,89568,35,19926,1645,19,4,Medium
17368,4713906D,2021-05-29 16:29:55,Website-services, Mobile ,Debit_Card,516,69498,23,2321,22627,66,3,Low
17369,4F4575D3,2021-04-01 06:19:48,Travel, Mobile ,PayPal_Pay_Later,869,67807,17,242,27322,91,2,About_to_churn
17370,2A031897,2021-05-06 09:31:44,Travel, Mobile ,PayPal_Cobrand_Card,3357,72922,26,31251,2101,25,4,Low
17371,99E4C4A9,2021-03-15 15:23:14,Travel, Web ,Debit_Card,1055,46104,15,1937,21119,75,2,Medium
17372,F3ED9236,2021-04-18 14:51:57,Fashion, Mobile ,PayPal_Pay_Later,156,89861,2,403,22015,76,2,Low
17373,F5DE31D8,2021-04-12 17:59:21,Website-services, Mobile ,Debit_Card,773,42492,18,1601,23147,79,1,Low
17374,B4521EDB,2021-04-08 06:17:35,Website-services, Mobile ,PayPal_Pay_Later,751,11405,18,1412,29630,89,2,Medium
17375,31C416C9,2021-03-30 21:45:23,Fashion, Mobile ,PayPal_Pay_Later,103,19572,14,1355,28838,87,2,About_to_churn
17376,F23D7B94,2021-05-19 04:24:16,Travel, Mobile ,PayPal_Credit_Card,4421,68369,39,14898,4311,11,5,High
17377,95B213B6,2021-04-10 08:48:02,Fashion, Web ,PayPal_Pay_Later,53,35509,9,1668,18666,84,2,Low
17378,C859F15B,2021-06-02 10:34:51,Travel, Mobile ,PayPal_Cobrand_Card,3321,30446,35,8709,3309,15,4,High
17379,0171FB5C,2021-03-07 14:53:21,Pantry, Mobile ,PayPal_Pay_Later,306,62460,16,1467,29258,86,2,Medium
17380,C2862ABB,2021-06-06 16:50:26,Fashion, Web ,PayPal_Pay_Later,107,50294,19,1367,26696,92,1,Medium
17381,87072DFD,2021-04-16 08:50:11,Travel, Mobile ,Debit_Card,1158,44632,16,1265,20290,83,3,Medium
17382,AA58B65E,2021-04-09 14:41:14,Fashion, Mobile ,PayPal_Pay_Later,149,67382,20,943,18095,96,1,About_to_churn
17383,A26737FD,2021-03-14 17:37:39,Fashion, Mobile ,PayPal_Pay_Later,110,12430,12,1543,16487,92,1,Low
17384,99BFF836,2021-04-23 05:24:54,Fashion, Mobile ,PayPal_Pay_Later,59,19790,10,483,20328,97,2,About_to_churn
17385,AFCA4835,2021-06-09 08:38:46,Travel, Web ,Netbanking,1955,11613,8,2017,8186,57,1,About_to_churn
17386,326EE79E,2021-04-03 07:50:50,Website-services, Web ,Wallet,859,79359,14,6220,10836,58,0,High
17387,EAE9EB2A,2021-04-05 19:59:13,Fashion, Mobile ,PayPal_Pay_Later,78,52622,3,513,18005,91,1,Medium
17388,3721646D,2021-06-09 09:08:15,Fashion, Web ,PayPal_Pay_Later,155,12262,19,1394,13599,83,1,Medium
17389,B0A40130,2021-06-09 11:42:56,Pantry, Web ,PayPal_Pay_Later,343,55808,2,351,14953,100,2,Medium
17390,3A10787F,2021-05-05 17:29:25,Website-services, Web ,Wallet,345,44632,18,6527,10116,69,1,Medium
17391,2494B020,2021-05-25 05:56:01,Electronics, Mobile ,PayPal_Pay_Later,693,41464,7,375,12462,78,2,Medium
17392,7729C0A1,2021-03-18 06:25:25,Travel, POS ,PayPal_Cobrand_Card,2708,16599,19,15744,2674,7,6,Medium
17393,3805301F,2021-04-03 09:41:54,Electronics, Mobile ,Netbanking,226,62880,7,5410,14690,43,3,High
17394,89EADF49,2021-04-02 20:28:35,Travel, Mobile ,PayPal_Cobrand_Card,1204,72859,24,18886,2832,10,8,Low
17395,D7F1AECB,2021-06-07 04:57:32,Travel, Web ,PayPal_Credit_Card,3195,57485,40,39596,2011,13,6,Medium
17396,1511C3AA,2021-03-29 22:47:59,Fashion, Mobile ,PayPal_Pay_Later,72,46144,4,1408,23078,75,2,Medium
17397,6348CA89,2021-06-05 11:47:43,Pantry, Mobile ,PayPal_Pay_Later,109,79319,18,1499,13401,84,1,Medium
17398,9376F507,2021-06-05 01:01:47,Website-services, Mobile ,Netbanking,867,63770,3,2367,10942,46,2,Low
17399,92B19C78,2021-06-03 10:27:07,Others, Web ,Netbanking,1707,61120,14,3891,18255,63,3,High
17400,A8026022,2021-05-26 15:39:22,Pantry, Web ,PayPal_Pay_Later,36,82212,11,562,25349,87,2,About_to_churn
17401,5509BE8F,2021-04-30 10:32:37,Fashion, Web ,PayPal_Pay_Later,95,85017,14,1233,18297,89,1,About_to_churn
17402,7BB29293,2021-04-20 08:39:48,Travel, Web ,PayPal_Credit_Card,1290,43162,37,30342,4078,14,5,Medium
17403,534B384F,2021-06-04 01:08:31,Website-services, Web ,Netbanking,307,83052,3,3791,15469,47,1,Low
17404,DD334AB1,2021-05-29 21:06:10,Fashion, Web ,PayPal_Pay_Later,159,55808,14,989,15527,91,2,Low
17405,F96B3BF5,2021-04-29 10:44:26,Pantry, Mobile ,PayPal_Pay_Later,175,77456,15,575,18766,88,1,Low
17406,B5D82FFF,2021-03-17 10:12:12,Travel, Web ,Netbanking,1131,35220,10,4057,12073,57,2,Medium
17407,EE7AA874,2021-04-20 22:12:15,Electronics, Web ,Wallet,744,87730,7,2162,9945,62,0,Medium
17408,2CD78710,2021-03-23 10:04:49,Website-services, Mobile ,Debit_Card,559,89818,9,1801,11760,78,3,Medium
17409,EDC8B285,2021-05-26 02:56:35,Pantry, Mobile ,PayPal_Pay_Later,136,40694,17,432,17413,79,1,About_to_churn
17410,995BE655,2021-03-17 23:40:16,Travel, Mobile ,PayPal_Credit_Card,4519,86990,50,24353,1165,19,4,Medium
17411,AD559C80,2021-04-20 17:47:33,Website-services, Web ,Netbanking,708,45520,13,4608,14930,65,2,Medium
17412,D7709B9D,2021-03-14 13:35:45,Website-services, Mobile ,PayPal_Pay_Later,259,11405,4,1712,21955,96,2,About_to_churn
17413,A5BDDC8F,2021-03-30 07:16:54,Travel, Mobile ,PayPal_Credit_Card,1361,47426,58,21257,2413,12,6,Medium
17414,AEFCD884,2021-04-12 08:53:19,Fashion, Web ,Wallet,240,62789,18,6057,9252,52,1,Medium
17415,CE6F8E2F,2021-04-02 22:43:17,Fashion, Web ,PayPal_Pay_Later,65,55163,19,1490,17222,75,2,About_to_churn
17416,1ABFF284,2021-04-17 02:21:50,Pantry, Web ,PayPal_Pay_Later,183,15353,4,1356,28274,78,2,About_to_churn
17417,B78E30C3,2021-04-16 19:19:54,Pantry, Mobile ,PayPal_Pay_Later,161,18512,17,615,28877,89,2,About_to_churn
17418,E3843B3F,2021-04-28 05:02:03,Travel, Mobile ,PayPal_Credit_Card,4674,23307,43,28980,2737,22,3,High
17419,0A442BA0,2021-03-28 04:57:13,Fashion, Mobile ,PayPal_Pay_Later,154,18249,3,1160,24235,94,1,Low
17420,02296CDF,2021-05-28 14:33:44,Fashion, Mobile ,PayPal_Pay_Later,191,86990,5,1761,21833,84,2,Medium
17421,7FE096C0,2021-05-09 20:17:33,Travel, Mobile ,PayPal_Cobrand_Card,3244,79164,41,24366,2824,18,7,Medium
17422,78AF29BA,2021-03-24 03:39:38,Website-services, Mobile ,PayPal_Pay_Later,464,21600,12,364,15421,94,2,About_to_churn
17423,26090DBC,2021-05-18 23:40:16,Fashion, Mobile ,PayPal_Pay_Later,150,51560,10,1014,24610,87,2,About_to_churn
17424,9E99B36E,2021-05-15 18:01:20,Travel, Web ,Wallet,785,88043,10,3910,11993,70,0,High
17425,0338B5EF,2021-05-25 20:43:06,Others, Web ,Netbanking,931,89185,5,3457,8833,51,1,Low
17426,70777C8A,2021-06-05 05:22:57,Travel, Web ,PayPal_Credit_Card,4052,57487,32,37162,1242,14,3,Medium
17427,D1B73748,2021-04-15 13:08:49,Travel, Mobile ,Debit_Card,1192,30619,19,1130,14799,81,3,High
17428,DAA68E14,2021-05-15 17:36:31,Travel, Web ,Netbanking,914,86717,2,4428,8522,45,2,Medium
17429,4069EEB5,2021-03-27 09:23:42,Travel, Mobile ,PayPal_Credit_Card,2668,15745,53,26414,1004,16,4,High
17430,3F21A21E,2021-06-02 07:04:40,Website-services, Mobile ,PayPal_Pay_Later,568,11803,6,434,21017,78,2,Low
17431,DE468CBC,2021-03-10 16:57:21,Fashion, Mobile ,PayPal_Pay_Later,81,13478,3,383,23857,95,2,Low
17432,AF190D22,2021-04-16 19:58:02,Fashion, Mobile ,PayPal_Pay_Later,219,51588,8,1022,19609,80,1,About_to_churn
17433,93532FC2,2021-03-21 19:33:51,Fashion, Web ,Netbanking,240,18051,1,2178,15173,45,3,About_to_churn
17434,8E334C38,2021-06-09 22:45:54,Travel, Mobile ,Debit_Card,3423,24928,20,1506,20632,62,2,High
17435,0ADDCA96,2021-03-19 07:27:06,Travel, Web ,Netbanking,1571,20824,10,1559,14369,43,2,Medium
17436,547CF0D9,2021-04-04 23:40:19,Website-services, Web ,Netbanking,332,85223,7,3078,19606,63,2,Low
17437,12153A95,2021-03-15 03:37:50,Website-services, Web ,Wallet,730,14821,17,4465,11705,62,1,High
17438,F557E76D,2021-03-23 17:44:58,Website-services, Mobile ,PayPal_Pay_Later,173,46526,9,577,13165,95,1,Low
17439,5CB5EE6F,2021-04-07 00:27:23,Travel, Mobile ,PayPal_Credit_Card,4333,33005,59,6474,2007,14,5,High
17440,7808F21C,2021-05-15 13:59:31,Pantry, Mobile ,PayPal_Pay_Later,80,89861,18,301,14476,83,1,Low
17441,F8286A55,2021-04-06 20:41:51,Fashion, Web ,PayPal_Pay_Later,140,59385,7,1655,23825,89,2,Low
17442,C72302ED,2021-05-20 20:59:07,Website-services, Web ,Debit_Card,516,59385,4,1666,15379,76,2,Medium
17443,D2488628,2021-03-28 08:56:09,Fashion, Mobile ,PayPal_Pay_Later,234,34264,9,1238,25545,88,1,About_to_churn
17444,F5193F54,2021-03-24 17:02:59,Travel, Web ,PayPal_Credit_Card,1484,43486,35,42387,1758,18,5,High
17445,E618D44E,2021-05-21 14:42:21,Website-services, Web ,Netbanking,667,75940,14,4468,15491,41,3,Low
17446,0A2C94BF,2021-03-02 20:05:45,Travel, Web ,PayPal_Credit_Card,2280,72516,52,33735,1436,11,3,High
17447,25EAC611,2021-04-06 19:56:06,Website-services, Web ,Debit_Card,994,74420,3,1713,22836,60,1,Medium
17448,3BECC65F,2021-04-22 03:01:16,Pantry, Web ,PayPal_Pay_Later,128,23060,4,1539,28498,76,2,About_to_churn
17449,16BBCB4C,2021-05-22 02:24:09,Fashion, Mobile ,PayPal_Pay_Later,66,21055,18,978,21063,99,2,Medium
17450,C76C0B63,2021-04-09 08:19:56,Travel, Web ,Debit_Card,771,33334,3,1512,15444,83,3,Low
17451,F5559BA2,2021-06-04 09:22:37,Travel, Web ,PayPal_Credit_Card,4299,89102,59,28862,1528,12,5,High
17452,9E3C0767,2021-04-10 02:17:52,Travel, Web ,PayPal_Credit_Card,1622,37445,60,24752,4402,11,4,High
17453,F4F6E7A0,2021-04-20 03:18:10,Electronics, Web ,Debit_Card,1145,26377,14,1284,19353,76,2,Medium
17454,85B782FE,2021-03-17 13:32:06,Others, Web ,PayPal_Credit_Card,4583,16599,40,35982,2841,12,4,High
17455,CC2E4E20,2021-05-22 06:03:42,Pantry, Mobile ,PayPal_Pay_Later,200,53522,2,435,19984,87,2,Medium
17456,019911E8,2021-04-20 19:58:40,Travel, POS ,PayPal_Cobrand_Card,3146,31041,26,28520,3036,9,8,About_to_churn
17457,9AB2771B,2021-04-14 21:51:58,Pantry, Mobile ,PayPal_Pay_Later,121,33606,9,804,29756,94,1,Medium
17458,6CE1C70C,2021-04-02 07:28:54,Travel, Web ,Netbanking,1804,36408,9,5509,16100,62,3,Low
17459,DFB118CD,2021-03-12 08:13:20,Website-services, Web ,Wallet,951,73169,17,828,9199,55,1,Medium
17460,7D040ECB,2021-06-09 19:25:37,Website-services, Mobile ,PayPal_Pay_Later,915,83520,2,361,20624,89,2,About_to_churn
17461,9F8D5082,2021-05-29 08:00:34,Fashion, Mobile ,PayPal_Pay_Later,216,18419,16,1079,14006,79,2,Low
17462,DED0C3A4,2021-05-14 12:37:28,Travel, Web ,PayPal_Credit_Card,2718,49626,56,8078,3344,19,6,Medium
17463,E20D4D93,2021-05-20 12:50:41,Electronics, Web ,PayPal_Pay_Later,784,68593,2,430,28868,83,1,Medium
17464,5A48BFDF,2021-03-08 02:54:54,Pantry, Web ,PayPal_Pay_Later,58,83033,15,681,29734,93,1,Medium
17465,F94EEFC1,2021-06-06 14:00:27,Travel, POS ,PayPal_Cobrand_Card,1810,44632,29,12393,3143,10,7,Medium
17466,A7FC9DF1,2021-06-09 10:06:45,Fashion, Web ,PayPal_Pay_Later,101,63962,4,1050,12190,100,2,About_to_churn
17467,D364B8B1,2021-06-06 21:47:48,Electronics, Mobile ,PayPal_Pay_Later,194,12262,10,1124,12575,85,1,About_to_churn
17468,299F5583,2021-06-06 23:06:54,Fashion, Mobile ,PayPal_Pay_Later,55,25790,13,1777,18741,78,1,Low
17469,D12C95E0,2021-03-24 11:37:17,Pantry, Web ,PayPal_Pay_Later,192,89102,16,411,17301,86,2,About_to_churn
17470,7B668ADB,2021-04-08 03:11:21,Fashion, Mobile ,PayPal_Pay_Later,53,50555,20,1016,14920,85,1,Low
17471,F886CDBB,2021-05-27 12:48:54,Pantry, Web ,PayPal_Pay_Later,182,89230,3,330,12934,82,1,Medium
17472,891B2863,2021-03-01 23:35:11,Travel, Mobile ,PayPal_Credit_Card,4246,49234,41,36143,3954,18,5,Medium
17473,5C365A06,2021-04-30 01:37:31,Fashion, Web ,Wallet,208,67382,8,7701,11045,52,1,High
17474,78F4C73B,2021-05-08 21:22:33,Travel, Web ,PayPal_Cobrand_Card,3482,19146,39,29535,2187,14,5,Medium
17475,D8507C4C,2021-03-13 20:06:21,Travel, Mobile ,PayPal_Credit_Card,4842,25132,60,19264,2968,16,5,High
17476,1EB1FB69,2021-06-04 01:57:07,Website-services, Web ,Netbanking,620,39163,15,3469,11214,59,2,Low
17477,5ED6BAE2,2021-03-31 02:27:37,Travel, Mobile ,Netbanking,1083,12262,9,2219,12863,54,1,Low
17478,350495E6,2021-03-04 07:02:40,Website-services, Web ,Wallet,948,50294,5,7712,9831,66,1,About_to_churn
17479,BA84FCAF,2021-04-22 02:21:08,Fashion, Mobile ,PayPal_Pay_Later,103,82121,17,1664,27735,92,1,Medium
17480,6053135D,2021-06-06 00:53:19,Fashion, Web ,PayPal_Pay_Later,167,68504,9,1656,13099,97,2,About_to_churn
17481,FEF17B4A,2021-03-19 19:08:39,Fashion, Mobile ,PayPal_Pay_Later,67,74420,20,708,12596,92,2,About_to_churn
17482,185456FB,2021-03-31 21:32:28,Travel, Web ,Netbanking,1089,55621,10,3252,16995,41,2,Medium
17483,9E120EF7,2021-03-15 10:39:40,Electronics, Mobile ,PayPal_Pay_Later,861,62095,7,932,26834,90,1,Low
17484,0DC1011B,2021-04-04 17:55:21,Travel, Web ,PayPal_Credit_Card,1299,67430,37,7515,3030,18,3,Medium
17485,85334B2C,2021-03-22 05:11:07,Fashion, Mobile ,PayPal_Pay_Later,159,70557,3,634,15109,88,1,Medium
17486,32E3F6C6,2021-03-23 06:01:51,Website-services, Web ,PayPal_Pay_Later,878,49234,8,1540,23399,92,2,Low
17487,F11CA2D0,2021-05-15 22:44:07,Travel, Web ,PayPal_Credit_Card,4771,18821,55,5569,1423,11,4,Medium
17488,32B65F4E,2021-05-17 07:56:35,Travel, Web ,PayPal_Credit_Card,4413,31780,57,17105,2696,12,3,Medium
17489,163DAF19,2021-05-20 03:57:25,Website-services, Web ,Netbanking,266,22103,7,2387,10047,64,3,Low
17490,04CF1F19,2021-05-15 09:24:37,Pantry, Web ,Wallet,285,49421,15,3347,11639,66,1,About_to_churn
17491,D76C31ED,2021-04-07 14:40:30,Website-services, Mobile ,Netbanking,215,57442,15,5349,13952,56,1,High
17492,DE460B6C,2021-03-25 20:09:04,Travel, Web ,PayPal_Credit_Card,1709,37021,40,14777,2924,20,3,High
17493,2B6BF9A1,2021-05-19 13:06:49,Pantry, Mobile ,PayPal_Pay_Later,48,85223,15,882,26130,86,2,Medium
17494,E170BD6B,2021-03-10 10:32:58,Fashion, Mobile ,PayPal_Pay_Later,232,11449,17,1123,19470,83,1,About_to_churn
17495,4F597DBE,2021-03-28 23:12:05,Website-services, Web ,Netbanking,839,45933,3,3153,12857,62,2,Medium
17496,BC0308ED,2021-05-09 03:54:10,Website-services, Web ,PayPal_Pay_Later,796,65116,12,1196,12515,97,2,Medium
17497,BFE5EC37,2021-05-03 13:18:39,Pantry, Web ,Wallet,268,31877,6,2543,11994,53,1,Low
17498,FFBB068F,2021-03-17 21:44:00,Travel, Mobile ,PayPal_Credit_Card,3811,44400,42,41442,2614,14,5,High
17499,C02F1299,2021-03-02 07:15:36,Website-services, Web ,Debit_Card,789,56127,16,2034,23316,84,2,Medium
17500,B30450F5,2021-04-03 23:07:53,Fashion, Mobile ,PayPal_Pay_Later,91,38622,6,777,13633,87,1,Low
17501,14ABD7DD,2021-06-02 06:20:21,Fashion, Mobile ,PayPal_Pay_Later,143,41464,12,746,15610,93,1,Medium
17502,7AAF7BF7,2021-05-13 13:37:58,Pantry, Web ,PayPal_Pay_Later,180,62038,19,1166,13217,96,1,Medium
17503,FCE4F523,2021-03-14 09:47:44,Pantry, Mobile ,PayPal_Pay_Later,43,53573,13,1715,28481,76,1,About_to_churn
17504,7312CBD3,2021-03-17 21:00:14,Electronics, Web ,Netbanking,489,89359,9,4612,11271,41,2,High
